"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034394","GO:0034394","protein localization to cell surface","9/675","73/22853",0.000291640180988029,0.00804648590692103,0.00675220346241341,"Tsc2/Gopc/Nedd4l/Flna/Ank2/Smurf1/Tax1bp3/Nrg1/Synj2bp",9
"GO:0008154","GO:0008154","actin polymerization or depolymerization","17/675","219/22853",0.000292306040300452,0.00804648590692103,0.00675220346241341,"Evl/Dmtn/Mtss1/Bin1/Spire1/Add3/Abi2/Add1/Cyfip1/Fchsd2/Pik3r2/Tmod2/Tpm1/Sptan1/Gmfb/Ctnna2/Ap1ar",17
"GO:1903859","GO:1903859","regulation of dendrite extension","6/675","32/22853",0.000305392437379567,0.00833607280208308,0.00699521011883481,"Rtn4/Itsn2/Nedd4l/Sh3glb1/Smurf1/Afdn",6
"GO:0048639","GO:0048639","positive regulation of developmental growth","17/675","220/22853",0.000308298784739878,0.00833607280208308,0.00699521011883481,"Eif2b2/Mef2c/Sirt1/Rtn4/Itsn2/Nedd4l/Fn1/Macf1/Ybx3/Cyfip1/Sh3glb1/Smurf1/Sh3pxd2b/Agrn/Plcb1/Nrg1/Afdn",17
"GO:0048675","GO:0048675","axon extension","13/675","142/22853",0.000308399394951146,0.00833607280208308,0.00699521011883481,"Eif2b2/Ptprs/Sema6a/Rtn4/Slit1/Fn1/Sema6d/Macf1/Auts2/Cyfip1/Nlgn3/Plxna3/Nrg1",13
"GO:0022037","GO:0022037","metencephalon development","12/675","124/22853",0.000312499362332363,0.00834658030522959,0.00700402748332757,"Psap/Ptprs/Slc4a7/Scrib/Nrxn1/Dab1/Ezh2/Ophn1/Cplane1/Rere/Atxn2/Samd4b",12
"GO:0050890","GO:0050890","cognition","23/675","349/22853",0.000312508466966475,0.00834658030522959,0.00700402748332757,"Kmt2a/Man2b1/Mef2c/Git1/Atad1/Arf4/Ctnnd2/Ntan1/App/Nrxn1/Ube3a/Abi2/Meis2/Gnas/Cyfip1/Nlgn3/Ap1s2/Tmod2/Apbb1/Plcb1/Gmfb/Nrg1/Atxn1l",23
"GO:0000380","GO:0000380","alternative mRNA splicing, via spliceosome","9/675","74/22853",0.000323461046904723,0.00852503448783717,0.00715377719563969,"Celf2/Rbfox1/Rbm25/Hnrnpl/Celf4/Fxr1/Rbm5/Ythdc1/Fam172a",9
"GO:0045197","GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","7/675","45/22853",0.00032488988130603,0.00852503448783717,0.00715377719563969,"Arf4/Scrib/Mark2/Vangl2/Ophn1/Camsap3/Synj2bp",7
"GO:0072583","GO:0072583","clathrin-dependent endocytosis","7/675","45/22853",0.00032488988130603,0.00852503448783717,0.00715377719563969,"Itsn2/Dab2/Smap1/Clta/Fchsd2/Aak1/Ap2a1",7
"GO:0016236","GO:0016236","macroautophagy","17/675","222/22853",0.000342572223035189,0.00893675328348193,0.00749927075763079,"Tsc2/Tafazzin/Retreg3/Atp6v0a1/Sirt1/Vti1a/Atg16l1/Nsfl1c/Smg1/Pik3c2a/Snx14/Myo5a/Vps13c/Rubcn/Sh3glb1/Smurf1/Fez2",17
"GO:0007265","GO:0007265","Ras protein signal transduction","22/675","330/22853",0.000357636365903025,0.00923841884839483,0.00775241322198827,"Cul3/Git1/Rtn4/Shoc2/Map4k4/Vangl2/Ralgps2/Abi2/Auts2/Cyfip1/Ophn1/Mapkap1/Ralgps1/Rapgef1/Tax1bp3/Madd/Rhoj/Nrg1/Phactr4/Garre1/Rhog/Synj2bp",22
"GO:0018205","GO:0018205","peptidyl-lysine modification","24/675","375/22853",0.000358253817611032,0.00923841884839483,0.00775241322198827,"Kmt2a/Taf6l/Brd8/Ezh1/Sirt2/Kansl1/Sirt1/App/Rtf1/Meaf6/Phf14/Ing3/Auts2/Ezh2/Atrx/Rif1/Apbb1/Zzz3/Arid4b/Kmt5b/Kmt5a/Traf7/Setdb2/Phf20l1",24
"GO:0051125","GO:0051125","regulation of actin nucleation","6/675","33/22853",0.000364018902745615,0.00933344466639757,0.00783215407591618,"Abi2/Cyfip1/Fchsd2/Gmfb/Ctnna2/Ap1ar",6
"GO:0051865","GO:0051865","protein autoubiquitination","9/675","76/22853",0.00039573256823675,0.0100889320095358,0.00846612079295965,"Cul3/Ube2a/Mta1/Obi1/Ube3a/Rnf141/Cnot4/Rnf146/Klhl24",9
"GO:0031102","GO:0031102","neuron projection regeneration","8/675","61/22853",0.000411382939780714,0.0104286737333111,0.00875121484148448,"Ptprs/Rtn4/Epha4/Prrx1/Flna/Neo1/Ptprf/Nrg1",8
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","17/675","226/22853",0.000421118788692408,0.0106155056452968,0.00890799472000439,"Lims1/Dmtn/Dab2/Ptk2/Map4k4/Fn1/Src/Macf1/Cask/Flna/Phldb2/Fermt2/Limch1/Acer2/Camsap3/Clasp1/Ap1ar",17
"GO:0007611","GO:0007611","learning or memory","21/675","312/22853",0.000425497705321945,0.0106659676188803,0.00895033985261157,"Kmt2a/Man2b1/Mef2c/Git1/Atad1/Arf4/Ctnnd2/Ntan1/App/Nrxn1/Ube3a/Abi2/Meis2/Nlgn3/Ap1s2/Tmod2/Apbb1/Plcb1/Gmfb/Nrg1/Atxn1l",21
"GO:0030835","GO:0030835","negative regulation of actin filament depolymerization","7/675","47/22853",0.000427879728115176,0.0106660907780711,0.00895044320156717,"Evl/Dmtn/Add3/Add1/Tmod2/Tpm1/Sptan1",7
"GO:0099560","GO:0099560","synaptic membrane adhesion","6/675","34/22853",0.000431088749892025,0.0106867139268813,0.00896774910359856,"Ptprs/Nrxn1/Cadm1/Ptprf/Taok2/Nrg1",6
"GO:0099532","GO:0099532","synaptic vesicle endosomal processing","4/675","13/22853",0.00043595338195911,0.0107479276090688,0.00901911652555081,"Itsn2/Vti1a/Gripap1/Ap1s2",4
"GO:0016197","GO:0016197","endosomal transport","17/675","227/22853",0.00044302561722034,0.0108626007894408,0.00911534445094711,"Itsn2/Spag9/Scrib/Vti1a/Rab14/Arhgap1/Stx16/Erc1/Gripap1/Ap1s2/Dctn1/Rab6b/Zfyve9/Dennd5a/Rab11fip3/Sort1/Ehd2",17
"GO:0007034","GO:0007034","vacuolar transport","13/675","148/22853",0.000460530931589079,0.0112304472284793,0.00942402255317012,"Psap/Mgrn1/Bin1/Vti1a/Aktip/Ap1g1/Nedd4/Trak1/Vps13c/Smurf1/Ap1g2/Gprasp1/Sort1",13
"GO:0051271","GO:0051271","negative regulation of cellular component movement","21/675","315/22853",0.000482448186363001,0.0116439479217908,0.00977101139343972,"Mef2c/Evl/Ptk2/Bin1/Epha4/Sema6d/Adipor2/Pik3r2/Tpm1/Phldb2/Ptprm/Tcaf1/Limch1/Bmerb1/Plcb1/Nrg1/Clasp1/Lrch1/Afdn/Ap1ar/Synj2bp",21
"GO:0006399","GO:0006399","tRNA metabolic process","14/675","168/22853",0.000482677582672854,0.0116439479217908,0.00977101139343972,"Trmt10a/Mettl1/Tsen15/Dus4l/Rpp40/Fars2/Qtrt2/Kars/Trmt5/Mars1/Trpt1/Tprkb/Pus7/Ssb",14
"GO:0016573","GO:0016573","histone acetylation","13/675","149/22853",0.000491230058600421,0.011786894507701,0.00989096492886973,"Kmt2a/Taf6l/Brd8/Kansl1/Sirt1/App/Meaf6/Phf14/Ing3/Auts2/Apbb1/Zzz3/Phf20l1",13
"GO:0030516","GO:0030516","regulation of axon extension","11/675","113/22853",0.000522857505358927,0.0124790512050293,0.0104717877753017,"Eif2b2/Ptprs/Sema6a/Rtn4/Slit1/Fn1/Sema6d/Macf1/Cyfip1/Plxna3/Nrg1",11
"GO:0031032","GO:0031032","actomyosin structure organization","16/675","210/22853",0.00053506951631062,0.012702946665004,0.0106596695062272,"Cul3/Mef2c/Evl/Plec/Epb41l3/Sorbs1/Src/Pik3r2/Tmod2/Tpm1/Phldb2/Fermt2/Limch1/Sh3pxd2b/Phactr1/Clasp1",16
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","10/675","96/22853",0.000543435298679357,0.0127680856856809,0.0107143308734427,"Cul3/Lims1/Dmtn/Dab2/Ptk2/Fn1/Src/Flna/Fermt2/Phactr4",10
"GO:0048015","GO:0048015","phosphatidylinositol-mediated signaling","14/675","170/22853",0.000543504427449311,0.0127680856856809,0.0107143308734427,"Tsc2/Sirt2/Fyn/Sirt1/Ptk2/Ube3a/Fn1/Pik3c2a/Pik3r2/Nedd4/Exoc1/Ppp1r16b/Plcb1/Nrg1",14
"GO:0030010","GO:0030010","establishment of cell polarity","13/675","151/22853",0.000557850498745846,0.0130368499368365,0.0109398642215674,"Tsc2/Scrib/Mark2/Vangl2/Frmd4a/Nsfl1c/Ophn1/Dctn1/Map4/Ephb1/Pkd1/Camsap3/Clasp1",13
"GO:0072665","GO:0072665","protein localization to vacuole","8/675","64/22853",0.000572248375696951,0.0133040334805814,0.0111640711200872,"Rtn4/Gpr137b/Nedd4/Szt2/Vps13c/Sh3glb1/Smurf1/Sort1",8
"GO:0034405","GO:0034405","response to fluid shear stress","5/675","24/22853",0.000590375076053941,0.0136547060116187,0.0114583377484805,"Mef2c/Mtss1/Plec/Src/Pkd1",5
"GO:0007416","GO:0007416","synapse assembly","15/675","192/22853",0.000608907223608144,0.0140111113452807,0.0117574150545011,"Adgre5/Mef2c/Ptprs/Numb/Ptk2/App/Nrxn1/Adgrl2/Nlgn3/Cadm1/Ephb1/Dnm3/Agrn/Eif4g1/Nrg1",15
"GO:0016571","GO:0016571","histone methylation","13/675","153/22853",0.000631951116412332,0.0144671666292966,0.0121401135521316,"Kmt2a/Ezh1/Sirt1/Paxbp1/Rtf1/Auts2/Ezh2/Atrx/Rif1/Arid4b/Kmt5b/Setdb2/Prmt1",13
"GO:0006479","GO:0006479","protein methylation","15/675","193/22853",0.000642668100565043,0.01456389781432,0.0122212854636957,"Kmt2a/Ezh1/Sirt1/Paxbp1/Rtf1/Auts2/Ezh2/Atrx/Rif1/Arid4b/Mettl22/Kmt5b/Kmt5a/Setdb2/Prmt1",15
"GO:0008213","GO:0008213","protein alkylation","15/675","193/22853",0.000642668100565043,0.01456389781432,0.0122212854636957,"Kmt2a/Ezh1/Sirt1/Paxbp1/Rtf1/Auts2/Ezh2/Atrx/Rif1/Arid4b/Mettl22/Kmt5b/Kmt5a/Setdb2/Prmt1",15
"GO:0048017","GO:0048017","inositol lipid-mediated signaling","14/675","173/22853",0.000646897078118333,0.0145860662789797,0.0122398881165262,"Tsc2/Sirt2/Fyn/Sirt1/Ptk2/Ube3a/Fn1/Pik3c2a/Pik3r2/Nedd4/Exoc1/Ppp1r16b/Plcb1/Nrg1",14
"GO:0048762","GO:0048762","mesenchymal cell differentiation","17/675","236/22853",0.000688559282083638,0.0153556058658895,0.0128856467648732,"Tsc2/Mef2c/Sema6a/Rtn4/Dab2/Tcof1/Tcf7l2/Fn1/Vangl2/Sema6d/Ezh2/Flna/Phldb2/Fermt2/Fam172a/Clasp1/Phactr4",17
"GO:1903050","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","16/675","215/22853",0.000690697938300885,0.0153556058658895,0.0128856467648732,"Usp19/Sirt2/Tlk2/Dab2/Ptk2/Arih1/Ube3a/Epha4/Fbxw7/Ophn1/Pkd1/Tmtc3/Smurf1/Cop1/Styx/Rnf14",16
"GO:0051647","GO:0051647","nucleus localization","6/675","37/22853",0.000691293154648916,0.0153556058658895,0.0128856467648732,"Ptk2/Bin1/Slit1/Pcm1/Dctn1/Sun2",6
"GO:0014065","GO:0014065","phosphatidylinositol 3-kinase signaling","12/675","136/22853",0.000723044052249783,0.0159817668100728,0.0134110893175913,"Tsc2/Sirt2/Fyn/Sirt1/Ptk2/Ube3a/Fn1/Pik3c2a/Pik3r2/Nedd4/Ppp1r16b/Nrg1",12
"GO:0051650","GO:0051650","establishment of vesicle localization","13/675","156/22853",0.00075856803385722,0.0166507522867622,0.0139724680491592,"Cul3/Sybu/Scrib/Dnm1/Ap1s2/Dctn1/Trak1/Myo5a/Dnm3/Madd/Kif1b/Clasp1/Ap1ar",13
"GO:0046785","GO:0046785","microtubule polymerization","9/675","83/22853",0.000760731940892857,0.0166507522867622,0.0139724680491592,"Apc/Git1/Nin/Camsap1/Dctn1/Tubgcp5/Camsap3/Clip1/Clasp1",9
"GO:0044154","GO:0044154","histone H3-K14 acetylation","4/675","15/22853",0.000793986957540427,0.0171238390388303,0.0143694584922281,"Kmt2a/Sirt1/Meaf6/Phf14",4
"GO:0021799","GO:0021799","cerebral cortex radially oriented cell migration","6/675","38/22853",0.00080065167298962,0.0171238390388303,0.0143694584922281,"Rtn4/Lhx6/Dab1/Cul5/Sun2/Bmerb1",6
"GO:0034314","GO:0034314","Arp2/3 complex-mediated actin nucleation","6/675","38/22853",0.00080065167298962,0.0171238390388303,0.0143694584922281,"Abi2/Cyfip1/Fchsd2/Gmfb/Ctnna2/Ap1ar",6
"GO:0035088","GO:0035088","establishment or maintenance of apical/basal cell polarity","7/675","52/22853",0.000801427724126225,0.0171238390388303,0.0143694584922281,"Arf4/Scrib/Mark2/Vangl2/Ophn1/Camsap3/Synj2bp",7
"GO:0061245","GO:0061245","establishment or maintenance of bipolar cell polarity","7/675","52/22853",0.000801427724126225,0.0171238390388303,0.0143694584922281,"Arf4/Scrib/Mark2/Vangl2/Ophn1/Camsap3/Synj2bp",7
"GO:1902414","GO:1902414","protein localization to cell junction","11/675","119/22853",0.00080902170388307,0.0172041724422907,0.0144368702159628,"Git1/Scrib/Nrxn1/Lamtor2/Jak1/Gripap1/Nlgn3/Flna/Fermt2/Gphn/Afdn",11
"GO:2000146","GO:2000146","negative regulation of cell motility","20/675","306/22853",0.000832203434538487,0.0176136642017651,0.0147804949619869,"Mef2c/Evl/Ptk2/Epha4/Sema6d/Adipor2/Pik3r2/Tpm1/Phldb2/Ptprm/Tcaf1/Limch1/Bmerb1/Plcb1/Nrg1/Clasp1/Lrch1/Afdn/Ap1ar/Synj2bp",20
"GO:0009896","GO:0009896","positive regulation of catabolic process","28/675","494/22853",0.000837936909827185,0.0176517507718055,0.0148124552826876,"Fbxo7/Tsc2/Apc/Git1/Sirt2/Sirt1/Cnot2/Dab2/Mtdh/Ptk2/Cblb/App/Nedd4l/Arih1/Atg16l1/Fbxw7/Pik3c2a/Nedd4/Tmtc3/Sh3glb1/Smurf1/Dxo/Cop1/Tardbp/Tnrc6b/Rnf14/Hnrnpr/Samd4b",28
"GO:0045664","GO:0045664","regulation of neuron differentiation","17/675","241/22853",0.000869665434228052,0.0182345271186041,0.0153014916784739,"Mef2c/Rtn4/Spag9/Nin/Numb/App/Zeb1/Bin1/Dab1/Tcf12/Aspm/Apbb1/Opa1/Ttc3/Eif4g1/Bcl11b/Tcf4",17
"GO:0031103","GO:0031103","axon regeneration","7/675","53/22853",0.000900210750879855,0.0185598970309952,0.015574525630739,"Ptprs/Rtn4/Epha4/Flna/Neo1/Ptprf/Nrg1",7
"GO:0070828","GO:0070828","heterochromatin organization","7/675","53/22853",0.000900210750879855,0.0185598970309952,0.015574525630739,"Ezh1/Sirt1/Hp1bp3/Ezh2/Rif1/Fam172a/Setdb2",7
"GO:0006475","GO:0006475","internal protein amino acid acetylation","13/675","159/22853",0.000905865266277678,0.0185598970309952,0.015574525630739,"Kmt2a/Taf6l/Brd8/Kansl1/Sirt1/App/Meaf6/Phf14/Ing3/Auts2/Apbb1/Zzz3/Phf20l1",13
"GO:0018393","GO:0018393","internal peptidyl-lysine acetylation","13/675","159/22853",0.000905865266277678,0.0185598970309952,0.015574525630739,"Kmt2a/Taf6l/Brd8/Kansl1/Sirt1/App/Meaf6/Phf14/Ing3/Auts2/Apbb1/Zzz3/Phf20l1",13
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","13/675","159/22853",0.000905865266277678,0.0185598970309952,0.015574525630739,"Apc/Git1/Nin/Mark2/Camsap1/Dctn1/Pkd1/Phldb2/Agrn/Bmerb1/Camsap3/Clip1/Clasp1",13
"GO:0045022","GO:0045022","early endosome to late endosome transport","6/675","39/22853",0.000922887100761866,0.0187375313172783,0.0157235873275789,"Dab2/Src/Flna/Aktip/Sh3glb1/Kif16b",6
"GO:1903670","GO:1903670","regulation of sprouting angiogenesis","6/675","39/22853",0.000922887100761866,0.0187375313172783,0.0157235873275789,"Epn2/Sema6a/Jak1/Ppp1r16b/Rhoj/Synj2bp",6
"GO:0051963","GO:0051963","regulation of synapse assembly","11/675","121/22853",0.000929300243987893,0.0187827486251066,0.0157615314022982,"Adgre5/Mef2c/Ptprs/Ptk2/App/Nrxn1/Adgrl2/Nlgn3/Ephb1/Agrn/Eif4g1",11
"GO:0018022","GO:0018022","peptidyl-lysine methylation","12/675","140/22853",0.000934191375710781,0.0187969358870595,0.0157734366340215,"Kmt2a/Ezh1/Sirt1/Rtf1/Auts2/Ezh2/Atrx/Rif1/Arid4b/Kmt5b/Kmt5a/Setdb2",12
"GO:0021543","GO:0021543","pallium development","13/675","161/22853",0.00101681343692822,0.0203680441584683,0.0170918311273131,"Ptprs/Rtn4/Lhx6/Dab1/Plxna3/Cul5/Aspm/Sun2/Emx2/Bmerb1/Plcb1/Phactr1/Afdn",13
"GO:0060491","GO:0060491","regulation of cell projection assembly","15/675","202/22853",0.00102503892054173,0.0204415539398701,0.0171535168129955,"Tchp/Apc/Evi5l/Evl/Dmtn/Nrxn1/Abi2/Src/Fxr1/Auts2/Cyfip1/Map4/Dnm3/Agrn/Rhog",15
"GO:0048681","GO:0048681","negative regulation of axon regeneration","4/675","16/22853",0.00103404970045781,0.0205300044511247,0.0172277400025039,"Ptprs/Rtn4/Epha4/Neo1",4
"GO:0061512","GO:0061512","protein localization to cilium","8/675","70/22853",0.00104570074432787,0.0206029194078362,0.0172889265414309,"Tulp3/Arf4/Arl13b/Bbs9/Rab11fip3/Cplane1/Ccdc66/Wdr35",8
"GO:0002064","GO:0002064","epithelial cell development","18/675","267/22853",0.00104690564407993,0.0206029194078362,0.0172889265414309,"Psap/Ptprs/Slc4a7/Plec/Scrib/Flnb/Vim/Abi2/Src/Add1/Atrx/Flna/Ppp1r16b/Arid4b/Rapgef1/Bcl11b/Plcb1/Afdn",18
"GO:0007612","GO:0007612","learning","14/675","182/22853",0.00106231346799843,0.0207571940991091,0.0174183860491744,"Kmt2a/Git1/Atad1/Arf4/Ctnnd2/App/Nrxn1/Ube3a/Meis2/Nlgn3/Ap1s2/Apbb1/Gmfb/Atxn1l",14
"GO:0042177","GO:0042177","negative regulation of protein catabolic process","11/675","123/22853",0.0010639970231324,0.0207571940991091,0.0174183860491744,"Usp19/Dedd/Sirt2/Fyn/Tlk2/Banp/Epha4/Ophn1/Flna/Styx/Nrg1",11
"GO:0007160","GO:0007160","cell-matrix adhesion","16/675","225/22853",0.00112004596389304,0.0217560443289526,0.0182565705757366,"Lims1/Dmtn/Ptk2/Sorbs1/Map4k4/Fn1/Src/Macf1/Cask/Phldb2/Fermt2/Limch1/Acer2/Camsap3/Taok2/Clasp1",16
"GO:0010721","GO:0010721","negative regulation of cell development","15/675","204/22853",0.00113209702559203,0.0218953420423769,0.018373462162172,"Tsc2/Ptprs/Sirt2/Sema6a/Rtn4/Dmtn/Ptk2/Slit1/Sema6d/Fbxw7/Dab1/Plxna3/Pcm1/Ttc3/Ap1ar",15
"GO:0034968","GO:0034968","histone lysine methylation","11/675","124/22853",0.00113715166267932,0.021898710345245,0.0183762886713527,"Kmt2a/Ezh1/Sirt1/Rtf1/Auts2/Ezh2/Atrx/Rif1/Arid4b/Kmt5b/Setdb2",11
"GO:0060485","GO:0060485","mesenchyme development","19/675","292/22853",0.00116994287984702,0.0224339047088615,0.0188253966766207,"Tsc2/Mef2c/Sema6a/Rtn4/Dab2/Tcof1/Tcf7l2/Fn1/Vangl2/Sema6d/Ezh2/Flna/Nedd4/Phldb2/Fermt2/Tead1/Fam172a/Clasp1/Phactr4",19
"GO:0021953","GO:0021953","central nervous system neuron differentiation","15/675","205/22853",0.00118906397436883,0.0227035321403956,0.0190516543620037,"Tulp3/Psap/B4galt5/Nin/Ptk2/Nrxn1/Epha4/Lhx6/Ophn1/Plxna3/Ephb1/Zswim6/Szt2/Atxn2/Bcl11b",15
"GO:0038179","GO:0038179","neurotrophin signaling pathway","6/675","41/22853",0.00120996788254086,0.0227625897039245,0.0191012124783733,"Src/Cyfip1/Ptprf/Sh3glb1/Rapgef1/Sort1",6
"GO:0098927","GO:0098927","vesicle-mediated transport between endosomal compartments","6/675","41/22853",0.00120996788254086,0.0227625897039245,0.0191012124783733,"Dab2/Src/Flna/Aktip/Sh3glb1/Kif16b",6
"GO:0099084","GO:0099084","postsynaptic specialization organization","6/675","41/22853",0.00120996788254086,0.0227625897039245,0.0191012124783733,"Ptprs/Numb/Nrxn1/Ophn1/Nlgn3/Cadm1",6
"GO:0000723","GO:0000723","telomere maintenance","11/675","125/22853",0.00121439878536696,0.0227625897039245,0.0191012124783733,"Rpa1/Map3k4/Smc6/Rad51/Src/Dclre1b/Smg1/Atrx/Rif1/Slx4/Tprkb",11
"GO:0030336","GO:0030336","negative regulation of cell migration","19/675","293/22853",0.00121752207018985,0.0227625897039245,0.0191012124783733,"Mef2c/Evl/Ptk2/Epha4/Sema6d/Adipor2/Pik3r2/Tpm1/Phldb2/Ptprm/Tcaf1/Limch1/Bmerb1/Plcb1/Nrg1/Clasp1/Lrch1/Afdn/Synj2bp",19
"GO:0007274","GO:0007274","neuromuscular synaptic transmission","5/675","28/22853",0.00123829193026772,0.0230548377224534,0.0193464522147527,"Stxbp1/Erc1/Fchsd2/Erc2/Kif1b",5
"GO:0030834","GO:0030834","regulation of actin filament depolymerization","7/675","56/22853",0.00125508032258362,0.0231580154226349,0.0194330337153566,"Evl/Dmtn/Add3/Add1/Tmod2/Tpm1/Sptan1",7
"GO:1901379","GO:1901379","regulation of potassium ion transmembrane transport","9/675","89/22853",0.0012585401418337,0.0231580154226349,0.0194330337153566,"Bin1/Nedd4l/Flna/Nedd4/Ank2/Agrn/Wnk1/Dpp6/Klhl24",9
"GO:0010507","GO:0010507","negative regulation of autophagy","8/675","72/22853",0.00125931708560796,0.0231580154226349,0.0194330337153566,"Tsc2/Sirt2/Ptk2/Smg1/Rubcn/Dap/Eif4g1/Fez2",8
"GO:0051222","GO:0051222","positive regulation of protein transport","20/675","317/22853",0.00127816295546275,0.0234086415557606,0.0196433464734275,"Fyn/Sirt1/Sybu/App/Tcf7l2/Frmd4a/Src/Fbxw7/Asph/Cask/Flna/Pcm1/Pik3r2/Atp2c1/Exoc1/Tcaf1/Apbb1/Sh3glb1/Tardbp/Abat",20
"GO:0051656","GO:0051656","establishment of organelle localization","24/675","411/22853",0.00128759107811686,0.0234854519004485,0.0197078018246641,"Septin1/Cul3/Stxbp2/Sybu/Scrib/Ptk2/Spire1/Slit1/Stxbp1/Dnm1/Nsfl1c/Ap1s2/Pcm1/Dctn1/Map4/Trak1/Myo5a/Arhgap21/Dnm3/Madd/Sun2/Kif1b/Clasp1/Ap1ar",24
"GO:0003334","GO:0003334","keratinocyte development","4/675","17/22853",0.00132083023593198,0.0237062610745072,0.0198930937007524,"Psap/Plec/Flnb/Bcl11b",4
"GO:0070571","GO:0070571","negative regulation of neuron projection regeneration","4/675","17/22853",0.00132083023593198,0.0237062610745072,0.0198930937007524,"Ptprs/Rtn4/Epha4/Neo1",4
"GO:0071498","GO:0071498","cellular response to fluid shear stress","4/675","17/22853",0.00132083023593198,0.0237062610745072,0.0198930937007524,"Mef2c/Mtss1/Plec/Src",4
"GO:0099558","GO:0099558","maintenance of synapse structure","4/675","17/22853",0.00132083023593198,0.0237062610745072,0.0198930937007524,"Erc1/Ophn1/Cadm1/Erc2",4
"GO:0010970","GO:0010970","transport along microtubule","13/675","166/22853",0.00134480537518254,0.02394612393389,0.0200943744645994,"Sybu/App/Dync1i2/Pcm1/Trak1/Myo5a/Arhgap21/Madd/Dync2i1/Sun2/Camsap3/Kif1b/Wdr35",13
"GO:0006605","GO:0006605","protein targeting","18/675","273/22853",0.00134486811485186,0.02394612393389,0.0200943744645994,"Fbxo7/Fyn/Dmtn/Nbea/Fbxw7/Macf1/Arl6ip1/Nedd4/Trak1/Nup54/Vps13c/Tcaf1/Smurf1/Pex2/Nacad/Sort1/Ywhaq/Synj2bp",18
"GO:1903035","GO:1903035","negative regulation of response to wounding","9/675","90/22853",0.0013625185798638,0.0241645093590864,0.0202776324533922,"Git1/Ptprs/Rtn4/Epha4/Cask/Neo1/Phldb2/Abat/Clasp1",9
"GO:0031113","GO:0031113","regulation of microtubule polymerization","7/675","57/22853",0.00139495442207152,0.0246423641410823,0.0206786239857017,"Apc/Git1/Nin/Camsap1/Dctn1/Camsap3/Clip1",7
"GO:1903861","GO:1903861","positive regulation of dendrite extension","5/675","29/22853",0.00146031102524699,0.0255967575389345,0.0214795025903531,"Itsn2/Nedd4l/Sh3glb1/Smurf1/Afdn",5
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","10/675","109/22853",0.0014603899999927,0.0255967575389345,0.0214795025903531,"Lims1/Dmtn/Dab2/Ptk2/Fn1/Src/Flna/Fermt2/Srcin1/Ap1ar",10
"GO:0008286","GO:0008286","insulin receptor signaling pathway","11/675","128/22853",0.00147243298752406,0.0256077783527925,0.0214887506991986,"Tsc2/Apc/Sirt1/Sorbs1/Slc2a8/Src/Nucb2/Pik3r2/Ptprf/Opa1/Plcb1",11
"GO:0061387","GO:0061387","regulation of extent of cell growth","11/675","128/22853",0.00147243298752406,0.0256077783527925,0.0214887506991986,"Eif2b2/Ptprs/Sema6a/Rtn4/Slit1/Fn1/Sema6d/Macf1/Cyfip1/Plxna3/Nrg1",11
"GO:0010761","GO:0010761","fibroblast migration","7/675","58/22853",0.00154670330318559,0.0266925296976682,0.0223990190910722,"Tsc2/Dmtn/Plec/Ptk2/Lamtor2/Adipor2/Mta2",7
"GO:0072698","GO:0072698","protein localization to microtubule cytoskeleton","7/675","58/22853",0.00154670330318559,0.0266925296976682,0.0223990190910722,"Apc/4933427D14Rik/Nin/Nsfl1c/Pcm1/Cep350/Golgb1",7
"GO:0021955","GO:0021955","central nervous system neuron axonogenesis","6/675","43/22853",0.00156078241349156,0.0267481418663104,0.0224456860065434,"B4galt5/Nin/Ptk2/Epha4/Ephb1/Szt2",6
"GO:0021549","GO:0021549","cerebellum development","10/675","110/22853",0.00156491569672859,0.0267481418663104,0.0224456860065434,"Psap/Ptprs/Nrxn1/Dab1/Ezh2/Ophn1/Cplane1/Rere/Atxn2/Samd4b",10
"GO:0048640","GO:0048640","negative regulation of developmental growth","11/675","129/22853",0.00156780951879644,0.0267481418663104,0.0224456860065434,"Apc/Ptprs/Sema6a/Rtn4/Ptk2/Tcf7l2/Slit1/Sema6d/Gnas/Plxna3/Atxn2",11
"GO:0001667","GO:0001667","ameboidal-type cell migration","25/675","442/22853",0.00159986183253575,0.0271915910704087,0.0228178061203364,"Tsc2/Mef2c/Sema6a/Sirt1/Rtn4/Evl/Dmtn/Plec/Ptk2/Map4k4/Fn1/Sema6d/Src/Lamtor2/Fbxw7/Macf1/Adipor2/Pik3c2a/Pik3r2/Ptprm/Rhoj/Clasp1/Phactr4/Mta2/Synj2bp",25
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","16/675","233/22853",0.00160937511318189,0.0272500608786685,0.0228668710222508,"Sipa1l2/Tsc2/Cul3/Git1/Rtn4/Shoc2/Map4k4/Ralgps2/Src/Auts2/Ophn1/Mapkap1/Ralgps1/Rapgef1/Madd/Nrg1",16
"GO:1900078","GO:1900078","positive regulation of cellular response to insulin stimulus","5/675","30/22853",0.00171029300890445,0.0284492355878583,0.0238731577065368,"Sirt1/Sorbs1/Src/Myo5a/Opa1",5
